BAQ00634.1	1247_46_1
WP_149409814.1	1247_46_1
WP_089541576.1	1247_46_1
AXY99336.1	1247_46_1
WP_201546713.1	1247_46_1
AHB32462.1	1247_46_1
WP_042868666.1	1247_46_1
WP_106479609.1	1247_46_1
WP_002065255.1	1247_46_1
WP_151760660.1	1247_46_1
WP_097133847.1	1247_46_1
WP_073405434.1	1247_46_1
WP_223929978.1	1247_46_1
WP_095994077.1	1247_46_1
WP_076025061.1	1247_46_1
AFW04860.1	1247_46_1
HBA6809212.1	1247_46_1
WP_096187557.1	1247_46_1
WP_169223020.1	1247_46_1
EFJ8673301.1	1247_46_1
EHJ4093881.1	1247_46_1
WP_079793774.1	1247_46_1
HAU3265253.1	1247_46_1
WP_034915856.1	1247_46_1
WP_212406985.1	1247_46_1
ACA24852.1	1247_46_1
ACA24840.1	1247_46_1
HBC0587495.1	1247_46_1
WP_106509388.1	1247_46_1
NCH61700.1	1247_46_1
WP_103009952.1	1247_46_1
WP_061554685.1	1247_46_1
WP_104085182.1	1247_46_1
WP_050290320.1	1247_46_1
AEH27473.1	1247_46_1
WP_161749707.1	1247_46_1
WP_066282843.1	1247_46_1
WP_185665883.1	1247_46_1
BAQ01169.1	1247_46_1
ACA24803.1	1247_46_1
ACA24792.1	1247_46_1
HAW7149579.1	1247_46_1
MQK37483.1	1247_46_1
WP_157921850.1	1247_46_1
EFC9838517.1	1247_46_1
WP_199371631.1	1247_46_1
MCE1439271.1	1247_46_1
EGQ4820835.1	1247_46_1
WP_072203073.1	1247_46_1
EFI4006016.1	1247_46_1
WP_222686410.1	1247_46_1
WP_129995412.1	1247_46_1
WP_214623736.1	1247_46_1
OBU45379.1	1247_46_1
WP_102562372.1	1247_46_1
BAQ00812.1	1247_46_1
WP_053888916.1	1247_46_1
ACV67297.1	1247_46_1
AFW04684.1	1247_46_1
MBJ8674661.1	1247_46_1
WP_187252201.1	1247_46_1
EGY1756633.1	1247_46_1
WP_134692146.1	1247_46_1
WP_163435987.1	1247_46_1
WP_222551728.1	1247_46_1
WP_103155085.1	1247_46_1
EHA1124951.1	1247_46_1
AHB32774.1	1247_46_1
AHB32438.2	1247_46_1
WP_098721664.1	1247_46_1
WP_109123338.1	1247_46_1
WP_032037098.1	1247_46_1
WP_202746102.1	1247_46_1
WP_064792751.1	1247_46_1
WP_228704202.1	1247_46_1
MWQ21883.1	1247_46_1
ATW46629.1	1247_46_1
ACL31748.1	1247_46_1
OTM90969.1	1247_46_1
WP_014204040.1	1247_46_1
WP_146509796.1	1247_46_1
WP_213972609.1	1247_46_1
WP_155586697.1	1247_46_1
WP_007394447.1	1247_46_1
WP_126789285.1	1247_46_1
WP_006993192.1	1247_46_1
WP_172892938.1	1247_46_1
WP_064561267.1	1247_46_1
WP_188156977.1	1247_46_1
WP_166837729.1	1247_46_1
SFH70350.1	1247_46_1
WP_045402521.1	1247_46_1
WP_115853285.1	1247_46_1
WP_095901342.1	1247_46_1
POR07012.1	1247_46_1
WP_222236542.1	1247_46_1
WP_121171902.1	1247_46_1
WP_090136162.1	1247_46_1
WP_094567501.1	1247_46_1
WP_108108846.1	1247_46_1
WP_086901522.1	1247_46_1
AHB32283.1	1247_46_1
ACH97162.1	1247_46_1
WP_036942525.1	1247_46_1
WP_121955863.1	1247_46_1
WP_198305536.1	1247_46_1
WP_021939711.1	1247_46_1
EGQ8121676.1	1247_46_1
WP_102467423.1	1247_46_1
KTF15231.1	1247_46_1
WP_125998993.1	1247_46_1
VEB76576.1	1247_46_1
WP_221411962.1	1247_46_1
WP_114172788.1	1247_46_1
WP_140964847.1	1247_46_1
WP_131325943.1	1247_46_1
WP_171255263.1	1247_46_1
WP_180177237.1	1247_46_1
WP_000262677.1	1247_46_1
WP_101916788.1	1247_46_1
WP_017724838.1	1247_46_1
NHB92021.1	1247_46_1
WP_137222139.1	1247_46_1
WP_162814004.1	1247_46_1
WP_080760111.1	1247_46_1
RPA63838.1	1247_46_1
WP_176372556.1	1247_46_1
HAS6984939.1	1247_46_1
WP_228076309.1	1247_46_1
