ACA24852.1	1177_42_1
ACA24840.1	1177_42_1
HBC0587495.1	1177_42_1
WP_106509388.1	1177_42_1
NCH61700.1	1177_42_1
WP_103009952.1	1177_42_1
WP_061554685.1	1177_42_1
WP_104085182.1	1177_42_1
WP_050290320.1	1177_42_1
AEH27473.1	1177_42_1
WP_161749707.1	1177_42_1
WP_066282843.1	1177_42_1
WP_185665883.1	1177_42_1
AAM27879.1	1177_42_1
NIM30849.1	1177_42_1
WP_094492561.1	1177_42_1
WP_119537153.1	1177_42_1
WP_108473764.1	1177_42_1
WP_221921379.1	1177_42_1
BAQ02116.1	1177_42_1
AAK64372.1	1177_42_1
WP_182079776.1	1177_42_1
WP_197438669.1	1177_42_1
WP_087422439.1	1177_42_1
WP_162625789.1	1177_42_1
WP_097503277.1	1177_42_1
WP_013610488.1	1177_42_1
MBQ9230185.1	1177_42_1
WP_149920745.1	1177_42_1
WP_097315421.1	1177_42_1
WP_157403843.1	1177_42_1
WP_140988984.1	1177_42_1
EHR2939669.1	1177_42_1
EGR73751.1	1177_42_1
WP_130975594.1	1177_42_1
WP_097169155.1	1177_42_1
EFH7018751.1	1177_42_1
WP_072253080.1	1177_42_1
HAZ0555840.1	1177_42_1
WP_142668271.1	1177_42_1
WP_196545058.1	1177_42_1
WP_196052073.1	1177_42_1
WP_148790641.1	1177_42_1
WP_023404412.1	1177_42_1
MBD5307449.1	1177_42_1
WP_121962782.1	1177_42_1
EEY6012083.1	1177_42_1
AXY99655.1	1177_42_1
MBN2612407.1	1177_42_1
WP_169342315.1	1177_42_1
BAQ00858.1	1177_42_1
WP_016238111.1	1177_42_1
ACA24776.1	1177_42_1
WP_159447953.1	1177_42_1
EHB0077756.1	1177_42_1
WP_047623710.1	1177_42_1
EFF0768368.1	1177_42_1
WP_080470520.1	1177_42_1
WP_045346738.1	1177_42_1
WP_182295798.1	1177_42_1
EGT0666651.1	1177_42_1
RWR01198.1	1177_42_1
WP_060997361.1	1177_42_1
WP_186413210.1	1177_42_1
WP_114077835.1	1177_42_1
EFH3089146.1	1177_42_1
EIR0017264.1	1177_42_1
BAQ01860.1	1177_42_1
BAL03056.1	1177_42_1
AAL27339.1	1177_42_1
KGM82069.1	1177_42_1
WP_052920558.1	1177_42_1
AIG62720.1	1177_42_1
WP_099190499.1	1177_42_1
MBE3733592.1	1177_42_1
HDZ04456.1	1177_42_1
AHB32687.1	1177_42_1
BAQ01743.1	1177_42_1
ABI55342.1	1177_42_1
WP_086266782.1	1177_42_1
WP_074189167.1	1177_42_1
WP_074188135.1	1177_42_1
WP_074186610.1	1177_42_1
WP_019454398.1	1177_42_1
WP_075808362.1	1177_42_1
WP_080479055.1	1177_42_1
MBP1128771.1	1177_42_1
WP_161505311.1	1177_42_1
EGM8550299.1	1177_42_1
WP_087893335.1	1177_42_1
WP_135704740.1	1177_42_1
MBC4617017.1	1177_42_1
WP_168186805.1	1177_42_1
WP_131073326.1	1177_42_1
MBN5318929.1	1177_42_1
WP_117136936.1	1177_42_1
QDI17963.1	1177_42_1
WP_158524166.1	1177_42_1
WP_077270733.1	1177_42_1
MBN5313443.1	1177_42_1
SCA34554.1	1177_42_1
WP_164171092.1	1177_42_1
MBH2771487.1	1177_42_1
QDI32442.1	1177_42_1
